Name,Date,Rank,3yr Rev Growth %,Revenue,Industry,Employees,City,State,Rev./Employee
DataXu,"new Date(2013,1,1)",5,213.37,87000000.0,Advertising & Marketing,220,Boston,MA,395454.545455
Emerge Digital Group,"new Date(2013,1,1)",8,170.64,23900000.0,Advertising & Marketing,75,San Francisco,CA,318666.666667
AdRoll,"new Date(2013,1,1)",12,150.65,34100000.0,Advertising & Marketing,165,San Francisco,CA,206666.666667
Sparc,"new Date(2013,1,1)",14,128.63,21100000.0,Software,160,Charleston,SC,131875.0
BlueKai,"new Date(2013,1,1)",20,92.45,26800000.0,Advertising & Marketing,107,Cupertino,CA,250467.28972
Trada,"new Date(2013,1,1)",27,81.01,12600000.0,Advertising & Marketing,75,Boulder,CO,168000.0
Kony,"new Date(2013,1,1)",28,77.86,51100000.0,Software,1100,Orlando,FL,46454.5454545
Sailthru,"new Date(2013,1,1)",30,73.22,8100000.0,Advertising & Marketing,79,New York,NY,102531.64557
Zurple,"new Date(2013,1,1)",33,71.12,7700000.0,Software,32,Carlsbad,CA,240625.0
YellowHammer,"new Date(2013,1,1)",37,67.4,18000000.0,Advertising & Marketing,27,New York,NY,666666.666667
Conductor,"new Date(2013,1,1)",38,67.02,7100000.0,Advertising & Marketing,89,New York,NY,79775.2808989
Phunware,"new Date(2013,1,1)",40,65.27,8200000.0,Software,92,Austin,TX,89130.4347826
29 Prime,"new Date(2013,1,1)",47,54.43,13800000.0,Advertising & Marketing,152,Irvine,CA,90789.4736842
Madwire Media,"new Date(2013,1,1)",51,52.54,6900000.0,Advertising & Marketing,94,Loveland,CO,73404.2553191
LabTech Software,"new Date(2013,1,1)",53,52.08,23100000.0,Software,152,Tampa,FL,151973.684211
Altitude Digital,"new Date(2013,1,1)",54,51.62,11400000.0,Advertising & Marketing,21,Denver,CO,542857.142857
Lead5 Media,"new Date(2013,1,1)",57,50.16,35600000.0,Advertising & Marketing,33,Newark,CA,1078787.87879
eGumball,"new Date(2013,1,1)",58,50.15,9600000.0,Advertising & Marketing,125,Irvine,CA,76800.0
HasOffers,"new Date(2013,1,1)",63,48.37,7300000.0,Advertising & Marketing,57,Seattle,WA,128070.175439
ReTargeter,"new Date(2013,1,1)",68,47.39,6500000.0,Advertising & Marketing,35,San Francisco,CA,185714.285714
C-4 Analytics,"new Date(2013,1,1)",69,46.46,4900000.0,Advertising & Marketing,32,Saugus,MA,153125.0
33Across,"new Date(2013,1,1)",70,44.99,27900000.0,Advertising & Marketing,75,New York,NY,372000.0
LiveIntent,"new Date(2013,1,1)",71,44.85,6900000.0,Advertising & Marketing,42,New York,NY,164285.714286
Rocket Fuel,"new Date(2013,1,1)",72,44.51,106600000.0,Advertising & Marketing,289,Redwood City,CA,368858.131488
SKM Media Group,"new Date(2013,1,1)",89,37.52,12000000.0,Advertising & Marketing,20,Boca Raton,FL,600000.0
CashStar,"new Date(2013,1,1)",103,34.14,9700000.0,Software,96,Portland,ME,101041.666667
WebiMax,"new Date(2013,1,1)",104,33.67,8400000.0,Advertising & Marketing,125,Mount Laurel,NJ,67200.0
Touchsuite,"new Date(2013,1,1)",105,33.38,13400000.0,Software,43,Boca Raton,FL,311627.906977
Acquia,"new Date(2013,1,1)",109,31.31,45400000.0,Software,263,Burlington,MA,172623.574144
Oceanhouse Media,"new Date(2013,1,1)",114,30.55,3900000.0,Software,10,Encinitas,CA,390000.0
Puppet Labs,"new Date(2013,1,1)",120,29.75,8800000.0,Software,107,Portland,OR,82242.9906542
Asentra,"new Date(2013,1,1)",123,29.63,12100000.0,Advertising & Marketing,24,Trumbull,CT,504166.666667
Advice Interactive Group,"new Date(2013,1,1)",130,28.08,3200000.0,Advertising & Marketing,31,McKinney,TX,103225.806452
Netcom3 Global,"new Date(2013,1,1)",131,27.73,23700000.0,Software,12,Laguna Niguel,CA,1975000.0
Videology,"new Date(2013,1,1)",136,27.27,137500000.0,Advertising & Marketing,321,Baltimore,MD,428348.909657
Finch,"new Date(2013,1,1)",145,25.93,2900000.0,Software,6,Lehi,UT,483333.333333
Hudl,"new Date(2013,1,1)",149,25.35,14100000.0,Software,73,Lincoln,NE,193150.684932
W4,"new Date(2013,1,1)",152,25.15,59800000.0,Advertising & Marketing,40,Santa Monica,CA,1495000.0
Mobomo,"new Date(2013,1,1)",158,24.84,2800000.0,Software,13,Bethesda,MD,215384.615385
Projekt202,"new Date(2013,1,1)",161,24.36,12500000.0,Software,73,Addison,TX,171232.876712
Alternative Technology Solutions,"new Date(2013,1,1)",166,24.07,8800000.0,Software,52,Aliso Viejo,CA,169230.769231
Extreme Reach,"new Date(2013,1,1)",171,23.49,41500000.0,Advertising & Marketing,203,Needham,MA,204433.497537
Act-On Software,"new Date(2013,1,1)",172,23.3,9200000.0,Software,140,Beaverton,OR,65714.2857143
Refinery29,"new Date(2013,1,1)",174,23.01,16600000.0,Media,99,New York,NY,167676.767677
Ticketracker,"new Date(2013,1,1)",178,22.67,2500000.0,Software,11,Anderson,IN,227272.727273
WordStream,"new Date(2013,1,1)",184,22.25,3400000.0,Advertising & Marketing,56,Boston,MA,60714.2857143
Ad-Juster,"new Date(2013,1,1)",186,22.18,2800000.0,Software,18,Poway,CA,155555.555556
Omatic Software,"new Date(2013,1,1)",189,21.92,5000000.0,Software,22,North Charleston,SC,227272.727273
Greenphire,"new Date(2013,1,1)",191,21.78,5400000.0,Software,42,King of Prussia,PA,128571.428571
AudioMicro,"new Date(2013,1,1)",204,20.53,2200000.0,Media,5,Sherman Oaks,CA,440000.0
OpenX,"new Date(2013,1,1)",222,19.21,154000000.0,Advertising & Marketing,264,Pasadena,CA,583333.333333
Quick Left,"new Date(2013,1,1)",223,19.17,2800000.0,Software,20,Boulder,CO,140000.0
WebPT,"new Date(2013,1,1)",231,18.37,8900000.0,Software,140,Phoenix,AZ,63571.4285714
TubeMogul,"new Date(2013,1,1)",239,18.03,53400000.0,Advertising & Marketing,125,Emeryville,CA,427200.0
iQuanti,"new Date(2013,1,1)",240,17.96,2500000.0,Advertising & Marketing,50,Hoboken,NJ,50000.0
TrendyMinds,"new Date(2013,1,1)",247,17.58,3700000.0,Advertising & Marketing,29,Indianapolis,IN,127586.206897
Gravity Media,"new Date(2013,1,1)",250,17.24,12400000.0,Advertising & Marketing,15,New York,NY,826666.666667
Transcend Media,"new Date(2013,1,1)",255,16.73,6700000.0,Advertising & Marketing,107,Greenacres,FL,62616.8224299
NUE Agency,"new Date(2013,1,1)",267,16.04,4500000.0,Media,4,New York,NY,1125000.0
